3.53,4.59,4.34,2.66,3.59,3.13,2.64,2.56,3.5,3.25
3.3,4.04,3.53,3.56,3.85,4.07,3.52,3.93,4.19,2.96
1.37,3.93,2.33,2.98,4,3.55,2.96,4.3,4.16,2.59
2.42,3.36,4.32,2.34,2.68,2.95,1.56,3.11,1.81,1.77
1.98,2.63,2.86,2.93,2.17,2.72,2.65,2.22,2.9,2.97
2.36,2.56,2.52,2.27,2.98,3.72,2.8,3.57,4.02,2.31
2.86,2.28,2.39,2.28,2.48,2.28,3.21,2.23,2.32,2.68
2.66,2.32,2.61,3.64,2.58,3.65,2.66,3.68,2.65,3.02
3.48,2.42,2.41,2.66,3.29,2.7,3.04,2.81,1.97,1.68
0.89,1.06,1.08,1.27,1.63,1.89,1.19,2.17,2.28,1.72
1.98,1.74,2.16,3.37,2.97,1.69,0.94,2.11,2.81,2.52
1.31,2.51,1.88,1.41,3.19,1.92,2.47,1.02,2.1,3.71
